"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop","WT","P3_NP","Test_Prop_Flu","Test_Prop_Cell","Test_Sum","Test_Log","Mean_Log","Mean_Gain","Mean_Sum","Cell.ID","Test_Gain","Threshold"
"MDCK",0.6,0,0,2,1,2,0,0,0,5,17859,0.000279970883028165,1,5,"0",1,0.000279970883028165,5,0.698970004336019,0,0,0,1927,0.00324066297105105,0.000113404936774418
"MDCK",0.6,2,0,0,1,5,0,1,4,13,45665,0.000284681922697909,1,13,"0",1,0.000284681922697909,13,1.11394335230684,0,0,0,1928,0.0168268914923903,0.000113404936774418
"MDCK",0.6,0,2,1,0,1,0,2,2,8,27253,0.000293545664697464,1,8,"0",1,0.000293545664697464,8,0.903089986991944,0,0,0,1929,0.0311355983392088,0.000113404936774418
"MDCK",0.6,0,2,0,0,2,0,1,4,9,30283,0.000297196446851369,1,9,"0",1,0.000297196446851369,9,0.954242509439325,0,0,0,1930,0.0124368457550441,0.000113404936774418
"MDCK",0.6,0,0,0,1,2,0,1,3,7,23543,0.000297328292910844,1,7,"0",1,0.000297328292910844,7,0.845098040014257,0,0,0,1931,0.000443632691009884,0.000113404936774418
"MDCK",0.6,1,0,0,0,5,0,0,2,8,25860,0.000309358081979892,1,8,"0",1,0.000309358081979892,8,0.903089986991944,0,0,0,1932,0.0404596177217986,0.000113404936774418
"MDCK",0.6,1,3,1,0,5,0,0,3,13,42017,0.000309398576766547,1,13,"1",1,0.000309398576766547,13,1.11394335230684,0,0,0,1933,0.000130899397862769,0.000113404936774418
"MDCK",0.6,0,5,0,4,4,0,0,3,16,51605,0.000310047476019766,1,16,"0",1,0.000310047476019766,16,1.20411998265592,0,0,0,1934,0.0020972923017299,0.000113404936774418
"MDCK",0.6,0,1,0,1,8,0,1,2,13,41920,0.000310114503816794,1,13,"0",1,0.000310114503816794,13,1.11394335230684,0,0,0,1935,0.000216185591603084,0.000113404936774418
"MDCK",0.6,0,3,1,3,6,0,2,6,21,67294,0.000312063482628466,1,21,"0",1,0.000312063482628466,21,1.32221929473392,0,0,0,1936,0.00628470706040765,0.000113404936774418
"MDCK",0.6,0,0,1,2,0,0,1,0,4,12740,0.000313971742543171,1,4,"0",1,0.000313971742543171,4,0.602059991327962,0,0,0,1937,0.00611497346191231,0.000113404936774418
"MDCK",0.6,0,0,0,1,0,0,5,0,6,18752,0.000319965870307167,1,6,"0",1,0.000319965870307167,6,0.778151250383644,0,0,0,1938,0.0190912969283276,0.000113404936774418
"MDCK",0.6,0,1,0,2,3,0,1,0,7,21736,0.000322046374677954,1,7,"0",1,0.000322046374677954,7,0.845098040014257,0,0,0,1939,0.00650226966016446,0.000113404936774418
"MDCK",0.6,1,0,0,0,2,0,0,4,7,21586,0.000324284258315575,1,7,"0",1,0.000324284258315575,7,0.845098040014257,0,0,0,1940,0.0069489483924766,0.000113404936774418
"MDCK",0.6,0,0,1,1,2,0,1,2,7,20461,0.000342114266164899,1,7,"0",1,0.000342114266164899,7,0.845098040014257,0,0,0,1941,0.0549826499193587,0.000113404936774418
"MDCK",0.6,0,0,0,0,3,0,2,0,5,14145,0.000353481795687522,1,5,"0",1,0.000353481795687522,5,0.698970004336019,0,0,0,1942,0.0332272887946272,0.000113404936774418
"MDCK",0.6,0,1,0,2,3,0,0,5,11,30754,0.000357677050139819,1,11,"0",1,0.000357677050139819,11,1.04139268515823,0,0,0,1943,0.0118683748455485,0.000113404936774418
"MDCK",0.6,0,0,1,1,2,0,1,4,9,24896,0.000361503856041131,1,9,"0",1,0.000361503856041131,9,0.954242509439325,0,0,0,1944,0.0106990535171769,0.000113404936774418
"MDCK",0.6,0,1,0,1,3,3,1,3,12,33026,0.000363350087809605,1,12,"0",1,0.000363350087809605,12,1.07918124604762,0,0,0,1945,0.0051070873453239,0.000113404936774418
"MDCK",0.6,0,0,3,1,4,1,0,2,11,29714,0.000370195867267954,1,11,"0",1,0.000370195867267954,11,1.04139268515823,0,0,0,1946,0.018840726032622,0.000113404936774418
"MDCK",0.6,0,1,1,0,9,0,4,1,16,42692,0.0003747774758737,1,16,"0",1,0.0003747774758737,16,1.20411998265592,0,0,0,1947,0.0123761743737384,0.000113404936774418
"MDCK",0.6,0,0,0,0,1,0,0,5,6,15918,0.000376931775348662,1,6,"0",1,0.000376931775348662,6,0.778151250383644,0,0,0,1948,0.00574820957406709,0.000113404936774418
"MDCK",0.6,0,1,1,1,1,0,1,4,9,23479,0.000383321265812002,1,9,"0",1,0.000383321265812002,9,0.954242509439325,0,0,0,1949,0.0169513181992419,0.000113404936774418
"MDCK",0.6,0,0,1,2,1,1,3,7,15,39039,0.000384231153461923,1,15,"0",1,0.000384231153461923,15,1.17609125905568,0,0,0,1950,0.00237369468138698,0.000113404936774418
"MDCK",0.6,0,0,0,0,4,1,2,3,10,26008,0.000384497077822209,1,10,"0",1,0.000384497077822209,10,1,0,0,0,1951,0.000692094740079952,0.000113404936774418
"MDCK",0.6,0,1,1,2,5,0,1,3,13,32893,0.000395220867661813,1,13,"0",1,0.000395220867661813,13,1.11394335230684,0,0,0,1952,0.0278904326148421,0.000113404936774418
"MDCK",0.6,0,1,0,0,3,0,2,2,8,19779,0.000404469386723292,1,8,"0",1,0.000404469386723292,8,0.903089986991944,0,0,0,1953,0.0234008874991736,0.000113404936774418
"MDCK",0.6,1,1,0,1,2,0,1,1,7,17048,0.000410605349601126,1,7,"0",1,0.000410605349601126,7,0.845098040014257,0,0,0,1954,0.0151704012200844,0.000113404936774418
