"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop"
"DF1",0.06,0,0,0,0,0,0,0,0,0,716,0,0
"DF1",0.06,0,0,0,0,2,0,0,0,2,763,0.00262123197903014,0.00262123197903014
"DF1",0.06,1,1,1,0,6,2,5,3,19,16937,0.00112180433370727,0.00112180433370727
"DF1",0.06,0,0,0,1,1,0,0,0,2,1125,0.00177777777777778,0.00177777777777778
"DF1",0.06,0,0,0,0,0,0,0,0,0,819,0,0
"DF1",0.06,0,0,0,1,0,0,1,0,2,620,0.0032258064516129,0.0032258064516129
"DF1",0.06,0,0,0,0,0,0,0,1,1,1168,0.000856164383561644,0.000856164383561644
"DF1",0.06,0,0,0,0,1,0,0,0,1,1628,0.000614250614250614,0.000614250614250614
"DF1",0.06,0,0,0,0,0,0,0,0,0,463,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,507,0,0
"DF1",0.06,0,0,0,1,0,0,0,0,1,1105,0.000904977375565611,0.000904977375565611
"DF1",0.06,0,0,0,0,0,0,0,0,0,411,0,0
"DF1",0.06,0,0,0,0,1,0,0,0,1,1450,0.000689655172413793,0.000689655172413793
"DF1",0.06,0,0,0,1,0,0,0,0,1,370,0.0027027027027027,0.0027027027027027
"DF1",0.06,0,0,0,0,1,0,0,1,2,433,0.0046189376443418,0.0046189376443418
"DF1",0.06,2,2,2,119,61,15,64,39,304,569,0.53427065026362,0.53427065026362
"DF1",0.06,0,0,0,0,0,0,0,0,0,848,0,0
"DF1",0.06,0,0,0,1,1,0,0,0,2,720,0.00277777777777778,0.00277777777777778
"DF1",0.06,0,0,0,0,0,0,0,0,0,1356,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,286,0,0
"DF1",0.06,0,0,0,0,1,0,0,0,1,1348,0.000741839762611276,0.000741839762611276
"DF1",0.06,0,0,0,0,0,0,0,0,0,473,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,416,0,0
"DF1",0.06,0,0,0,0,0,0,0,1,1,771,0.0012970168612192,0.0012970168612192
"DF1",0.06,0,0,0,0,0,0,1,0,1,502,0.00199203187250996,0.00199203187250996
"DF1",0.06,0,0,0,0,0,0,0,0,0,918,0,0
"DF1",0.06,0,0,0,0,0,0,1,1,2,961,0.00208116545265349,0.00208116545265349
"DF1",0.06,0,0,1,1,2,0,0,2,6,2444,0.00245499181669394,0.00245499181669394
"DF1",0.06,0,0,0,0,0,0,0,0,0,1879,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,364,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,328,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,948,0,0
"DF1",0.06,0,0,0,0,1,0,0,1,2,855,0.00233918128654971,0.00233918128654971
"DF1",0.06,0,0,0,0,0,0,0,0,0,1024,0,0
"DF1",0.06,0,0,0,2,0,0,1,0,3,934,0.00321199143468951,0.00321199143468951
"DF1",0.06,0,0,0,0,0,0,0,0,0,757,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,1355,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,439,0,0
"DF1",0.06,2,2,4,0,9,7,1,10,35,731,0.0478796169630643,0.0478796169630643
"DF1",0.06,0,0,0,1,0,0,0,0,1,480,0.00208333333333333,0.00208333333333333
"DF1",0.06,2,19,1,95,59,2,40,10,228,1860,0.12258064516129,0.12258064516129
"DF1",0.06,0,0,0,0,0,0,0,0,0,690,0,0
"DF1",0.06,0,0,0,0,0,0,0,1,1,631,0.00158478605388273,0.00158478605388273
"DF1",0.06,0,0,0,0,0,0,0,1,1,1530,0.00065359477124183,0.00065359477124183
"DF1",0.06,0,0,0,0,0,0,0,0,0,382,0,0
"DF1",0.06,1,0,0,0,0,0,0,0,1,1126,0.00088809946714032,0.00088809946714032
"DF1",0.06,0,0,0,1,0,0,0,0,1,801,0.00124843945068664,0.00124843945068664
"DF1",0.06,0,0,0,0,0,0,2,0,2,808,0.00247524752475248,0.00247524752475248
"DF1",0.06,0,0,0,1,0,0,0,0,1,484,0.00206611570247934,0.00206611570247934
"DF1",0.06,0,0,0,1,2,0,0,0,3,564,0.00531914893617021,0.00531914893617021
"DF1",0.06,0,0,0,1,0,0,0,0,1,1342,0.000745156482861401,0.000745156482861401
"DF1",0.06,0,29,9,453,140,34,114,128,907,2007,0.451918285999003,0.451918285999003
"DF1",0.06,0,0,0,0,0,0,0,0,0,741,0,0
"DF1",0.06,11,20,0,1,188,22,32,56,330,3062,0.107772697583279,0.107772697583279
"DF1",0.06,0,0,0,0,1,0,0,0,1,898,0.00111358574610245,0.00111358574610245
"DF1",0.06,0,0,0,0,1,0,0,0,1,835,0.00119760479041916,0.00119760479041916
"DF1",0.06,0,0,0,0,0,0,0,0,0,268,0,0
"DF1",0.06,0,0,0,0,1,0,1,0,2,1641,0.0012187690432663,0.0012187690432663
"DF1",0.06,0,0,0,0,0,0,0,0,0,681,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,490,0,0
"DF1",0.06,0,0,0,0,0,0,0,0,0,404,0,0
"DF1",0.06,0,0,0,10,5,2,3,3,23,271,0.0848708487084871,0.0848708487084871
"DF1",0.06,0,0,0,0,0,0,0,0,0,545,0,0
"DF1",0.06,0,0,0,1,0,1,1,0,3,2277,0.00131752305665349,0.00131752305665349
"DF1",0.06,0,0,0,6,5,1,2,4,18,15886,0.00113307314616644,0.00113307314616644
"DF1",0.06,0,0,0,0,1,0,0,0,1,381,0.0026246719160105,0.0026246719160105
"DF1",0.06,1,0,0,4,4,1,3,2,15,24369,0.000615536131970947,0.000615536131970947
"DF1",0.06,0,0,0,0,1,0,1,0,2,2297,0.00087070091423596,0.00087070091423596
"DF1",0.06,0,0,0,0,0,0,0,2,2,1542,0.0012970168612192,0.0012970168612192
"DF1",0.06,0,0,0,1,1,0,0,1,3,1595,0.00188087774294671,0.00188087774294671
